,date,iso_code,total_cases_per_million,people_vaccinated_per_hundred,median_age,population_density,total_deaths_per_million
2871,2/1/21,AND,105566.616,,,163.755,1085.917
2872,3/1/21,AND,105902.733,,,163.755,1085.917
2873,4/1/21,AND,106639.605,,,163.755,1085.917
2874,5/1/21,AND,107402.332,,,163.755,1085.917
2875,6/1/21,AND,107919.435,,,163.755,1085.917
2876,7/1/21,AND,107919.435,,,163.755,1085.917
2877,8/1/21,AND,109742.224,,,163.755,1085.917
2878,9/1/21,AND,110996.199,,,163.755,1098.844
2879,10/1/21,AND,110996.199,,,163.755,1098.844
2880,11/1/21,AND,110996.199,,,163.755,1098.844
2881,12/1/21,AND,112237.247,,,163.755,1111.772
2882,13/1/21,AND,113995.398,,,163.755,1124.699
2883,14/1/21,AND,114641.777,,,163.755,1137.627
2884,15/1/21,AND,115650.128,,,163.755,1137.627
2885,16/1/21,AND,116839.465,,,163.755,1176.41
2886,17/1/21,AND,117421.206,,,163.755,1176.41
2887,18/1/21,AND,117421.206,,,163.755,1176.41
2888,19/1/21,AND,118856.168,,,163.755,1189.337
2889,20/1/21,AND,120329.912,,,163.755,1189.337
2890,21/1/21,AND,121247.77,,,163.755,1202.265
2891,22/1/21,AND,121726.09,,,163.755,1202.265
2892,23/1/21,AND,122799.08,,,163.755,1241.048
2893,24/1/21,AND,123445.459,,,163.755,1241.048
2894,25/1/21,AND,124053.055,0.74,,163.755,1253.975
2895,26/1/21,AND,124596.013,,,163.755,1253.975
2896,27/1/21,AND,125604.364,,,163.755,1266.903
2897,28/1/21,AND,126418.802,,,163.755,1292.758
2898,29/1/21,AND,127168.601,,,163.755,1292.758
2899,30/1/21,AND,127789.125,,,163.755,1305.686
2900,31/1/21,AND,128461.359,,,163.755,1305.686
2901,1/2/21,AND,128913.825,1.34,,163.755,1305.686
2902,2/2/21,AND,129495.566,,,163.755,1318.613
2903,3/2/21,AND,130180.728,,,163.755,1331.541
2904,4/2/21,AND,131046.875,,,163.755,1331.541
2905,5/2/21,AND,131499.341,,,163.755,1344.468
2906,6/2/21,AND,131938.878,,,163.755,1357.396
2907,7/2/21,AND,132520.619,,,163.755,1370.323
2908,8/2/21,AND,132830.881,,,163.755,1370.323
2909,9/2/21,AND,133309.202,,,163.755,1370.323
2910,10/2/21,AND,133826.305,1.67,,163.755,1370.323
2911,11/2/21,AND,134330.481,,,163.755,1370.323
2912,12/2/21,AND,134795.874,2.1,,163.755,1370.323
2913,13/2/21,AND,135261.266,,,163.755,1383.251
2914,14/2/21,AND,135778.37,,,163.755,1383.251
2915,15/2/21,AND,136230.835,,,163.755,1383.251
2916,16/2/21,AND,136450.604,,,163.755,1383.251
2917,17/2/21,AND,136812.576,,,163.755,1383.251
2918,18/2/21,AND,137161.621,,,163.755,1383.251
2919,19/2/21,AND,137614.086,2.77,,163.755,1383.251
2920,20/2/21,AND,137963.131,,,163.755,1383.251
2921,21/2/21,AND,138312.175,,,163.755,1383.251
2922,22/2/21,AND,138480.234,,,163.755,1409.106
2923,23/2/21,AND,138829.278,,,163.755,1422.034
2924,24/2/21,AND,139294.671,3.09,,163.755,1422.034
2925,25/2/21,AND,139604.933,,,163.755,1422.034
2926,26/2/21,AND,139902.267,,,163.755,1422.034
2927,27/2/21,AND,140251.312,,,163.755,1422.034
2928,28/2/21,AND,140471.081,,,163.755,1422.034
2929,1/3/21,AND,140768.415,,,163.755,1422.034
2930,2/3/21,AND,141014.039,,,163.755,1422.034
2931,3/3/21,AND,141531.143,,,163.755,1447.889
2932,4/3/21,AND,141893.115,,,163.755,1447.889
2933,5/3/21,AND,142177.522,,,163.755,1447.889
2934,6/3/21,AND,142449.001,,,163.755,1447.889
2935,7/3/21,AND,142746.335,,,163.755,1447.889
2936,8/3/21,AND,143095.38,3.15,,163.755,1447.889
2937,9/3/21,AND,143353.931,,,163.755,1447.889
2938,10/3/21,AND,143883.962,4.72,,163.755,1447.889
2939,11/3/21,AND,143883.962,,,163.755,1447.889
2940,12/3/21,AND,144775.965,,,163.755,1447.889
2941,13/3/21,AND,145150.865,,,163.755,1447.889
2942,14/3/21,AND,145642.113,,,163.755,1460.817
2943,15/3/21,AND,145939.447,9.18,,163.755,1460.817
2944,16/3/21,AND,146327.275,,,163.755,1460.817
2945,17/3/21,AND,146857.305,,,163.755,1460.817
2946,18/3/21,AND,147283.916,,,163.755,1460.817
2947,19/3/21,AND,147775.164,,,163.755,1460.817
2948,20/3/21,AND,148421.543,,,163.755,1460.817
2949,21/3/21,AND,148886.935,,,163.755,1460.817
2950,22/3/21,AND,149248.908,,,163.755,1460.817
2951,23/3/21,AND,149843.576,,,163.755,1460.817
2952,24/3/21,AND,150451.173,,,163.755,1473.744
2953,25/3/21,AND,151084.624,,,163.755,1473.744
2954,26/3/21,AND,151666.365,,,163.755,1473.744
2955,27/3/21,AND,152661.789,,,163.755,1486.672
2956,28/3/21,AND,153191.819,,,163.755,1486.672
2957,29/3/21,AND,153683.067,,,163.755,1486.672
2958,30/3/21,AND,154407.012,,,163.755,1486.672
2959,31/3/21,AND,155260.232,,,163.755,1486.672
2960,1/4/21,AND,155816.118,,,163.755,1486.672
2961,2/4/21,AND,156617.628,,,163.755,1499.599
2962,3/4/21,AND,157380.355,,,163.755,1512.527
2963,4/4/21,AND,158117.227,,,163.755,1512.527
2964,5/4/21,AND,158828.244,12.64,,163.755,1512.527
2965,6/4/21,AND,159371.203,,,163.755,1512.527
2966,7/4/21,AND,159823.668,,,163.755,1538.382
2967,8/4/21,AND,160418.336,,,163.755,1551.31
2968,9/4/21,AND,161025.933,,,163.755,1551.31
2969,10/4/21,AND,161555.963,,,163.755,1551.31
2970,11/4/21,AND,162176.487,,,163.755,1551.31
2971,12/4/21,AND,162641.88,,,163.755,1564.237
2972,13/4/21,AND,163068.49,,,163.755,1564.237
2973,14/4/21,AND,163417.535,,,163.755,1564.237
2974,15/4/21,AND,163417.535,,,163.755,1564.237
2975,16/4/21,AND,164335.393,,,163.755,1590.092
2976,17/4/21,AND,165098.12,,,163.755,1590.092
2977,18/4/21,AND,165537.658,,,163.755,1590.092
2978,19/4/21,AND,165537.658,28.1,,163.755,1590.092
2979,20/4/21,AND,166429.661,,,163.755,1590.092
2980,21/4/21,AND,166985.547,,,163.755,1590.092
2981,22/4/21,AND,167308.736,,,163.755,1590.092
2982,23/4/21,AND,168149.029,,,163.755,1590.092
2983,24/4/21,AND,168368.798,,,163.755,1603.02
2984,25/4/21,AND,168834.191,,,163.755,1603.02
2985,26/4/21,AND,169131.525,30.8,,163.755,1603.02
2986,27/4/21,AND,169622.773,,,163.755,1603.02
2987,28/4/21,AND,169971.818,,,163.755,1615.947
2988,29/4/21,AND,170618.197,,,163.755,1615.947
2989,30/4/21,AND,171057.735,,,163.755,1615.947
2990,1/5/21,AND,171057.735,,,163.755,1615.947
2991,2/5/21,AND,171704.114,,,163.755,1641.803
2992,3/5/21,AND,171872.172,31.26,,163.755,1641.803
2993,4/5/21,AND,172143.651,,,163.755,1641.803
2994,5/5/21,AND,172453.913,,,163.755,1641.803
2995,6/5/21,AND,172751.248,,,163.755,1641.803
2996,7/5/21,AND,173100.292,,,163.755,1641.803
2997,8/5/21,AND,173307.133,,,163.755,1641.803
2998,9/5/21,AND,173526.902,,,163.755,1641.803
2999,10/5/21,AND,173604.468,34.82,,163.755,1641.803
3000,11/5/21,AND,173837.164,,,163.755,1641.803
3001,12/5/21,AND,174134.499,,,163.755,1641.803
3002,13/5/21,AND,174134.499,,,163.755,1641.803
3003,14/5/21,AND,174651.602,,,163.755,1641.803
3004,15/5/21,AND,174651.602,,,163.755,1641.803
3005,16/5/21,AND,174651.602,,,163.755,1641.803
3006,17/5/21,AND,175233.343,35.7,,163.755,1641.803
3007,18/5/21,AND,175414.329,,,163.755,1641.803
3008,19/5/21,AND,175414.329,,,163.755,1641.803
3009,20/5/21,AND,175414.329,,,163.755,1641.803
3010,21/5/21,AND,175414.329,,,163.755,1641.803
3011,22/5/21,AND,175414.329,,,163.755,1641.803
3012,23/5/21,AND,175414.329,,,163.755,1641.803
3013,24/5/21,AND,175414.329,,,163.755,1641.803
3014,25/5/21,AND,176642.449,,,163.755,1641.803
3015,26/5/21,AND,176732.942,,,163.755,1641.803
3016,27/5/21,AND,176875.145,,,163.755,1641.803
3017,28/5/21,AND,177017.349,,,163.755,1641.803
3018,29/5/21,AND,177017.349,,,163.755,1641.803
3019,30/5/21,AND,177017.349,,,163.755,1641.803
3020,31/5/21,AND,177456.887,35.7,,163.755,1641.803
3021,1/6/21,AND,177482.742,,,163.755,1641.803
3022,2/6/21,AND,177676.655,,,163.755,1641.803
3023,3/6/21,AND,177780.076,,,163.755,1641.803
3024,4/6/21,AND,177857.641,,,163.755,1641.803
3025,5/6/21,AND,177857.641,,,163.755,1641.803
